Order [timestamp=2017-10-05T10:00:44, broker=Ameriprise Financial, sequenceId=2, type=K, symbol=LGHT, quantity=800, price=98.765, side=Sell]
Order [timestamp=2017-10-05T10:18:05, broker=Ameriprise Financial, sequenceId=22, type=2, symbol=KRIL, quantity=30, price=6.03, side=Buy]
Order [timestamp=2017-10-05T10:19:35, broker=Ameriprise Financial, sequenceId=23, type=K, symbol=YLLW, quantity=1560, price=10.8, side=Buy]
Order [timestamp=2017-10-05T10:19:45, broker=Ameriprise Financial, sequenceId=24, type=2, symbol=CARD, quantity=200, price=6.68, side=Buy]
Order [timestamp=2017-10-05T10:20:01, broker=Ameriprise Financial, sequenceId=25, type=K, symbol=LGHT, quantity=600, price=140.005, side=Sell]
Order [timestamp=2017-10-05T10:21:01, broker=Ameriprise Financial, sequenceId=26, type=K, symbol=BRIC, quantity=300, price=30.705, side=Sell]
Order [timestamp=2017-10-05T10:22:14, broker=Ameriprise Financial, sequenceId=27, type=2, symbol=HOOF, quantity=600, price=39.2, side=Sell]
Order [timestamp=2017-10-05T10:23:01, broker=Ameriprise Financial, sequenceId=28, type=K, symbol=LGHT, quantity=100, price=98.78, side=Buy]
Order [timestamp=2017-10-05T10:32:11, broker=Ameriprise Financial, sequenceId=29, type=K, symbol=BRIC, quantity=300, price=30.705, side=Sell]
Order [timestamp=2017-10-05T10:33:42, broker=Ameriprise Financial, sequenceId=31, type=2, symbol=GLOO, quantity=100, price=40.02, side=Buy]
Order [timestamp=2017-10-05T10:34:01, broker=Ameriprise Financial, sequenceId=32, type=K, symbol=LOUD, quantity=200, price=10.95, side=Buy]
Order [timestamp=2017-10-05T10:35:05, broker=Ameriprise Financial, sequenceId=34, type=K, symbol=LGHT, quantity=100, price=140.01, side=Sell]
Order [timestamp=2017-10-05T10:40:01, broker=Ameriprise Financial, sequenceId=35, type=K, symbol=BARK, quantity=200, price=140.005, side=Buy]
Order [timestamp=2017-10-05T10:40:41, broker=Ameriprise Financial, sequenceId=36, type=2, symbol=YLLW, quantity=400, price=11.105, side=Sell]
Order [timestamp=2017-10-05T10:41:51, broker=Ameriprise Financial, sequenceId=37, type=K, symbol=LGHT, quantity=600, price=140.005, side=Sell]
Order [timestamp=2017-10-05T10:42:01, broker=Ameriprise Financial, sequenceId=38, type=2, symbol=CARD, quantity=700, price=6.9, side=Sell]
Order [timestamp=2017-10-05T10:43:11, broker=Ameriprise Financial, sequenceId=39, type=2, symbol=YLLW, quantity=550, price=11.205, side=Sell]
Order [timestamp=2017-10-05T10:44:23, broker=Ameriprise Financial, sequenceId=40, type=K, symbol=CARD, quantity=200, price=140.005, side=Buy]
Order [timestamp=2017-10-05T10:45:04, broker=Ameriprise Financial, sequenceId=41, type=2, symbol=YLLW, quantity=400, price=11.105, side=Sell]
Order [timestamp=2017-10-05T10:46:09, broker=Ameriprise Financial, sequenceId=42, type=K, symbol=LGHT, quantity=400, price=140, side=Buy]
Order [timestamp=2017-10-05T10:47:02, broker=Ameriprise Financial, sequenceId=43, type=K, symbol=BRIC, quantity=300, price=30.705, side=Sell]
Order [timestamp=2017-10-05T10:50:20, broker=Ameriprise Financial, sequenceId=45, type=2, symbol=HOOF, quantity=100, price=39.12, side=Sell]
Order [timestamp=2017-10-05T10:51:13, broker=Ameriprise Financial, sequenceId=46, type=2, symbol=BARK, quantity=100, price=1.195, side=Buy]
Order [timestamp=2017-10-05T10:52:03, broker=Ameriprise Financial, sequenceId=47, type=K, symbol=LGHT, quantity=100, price=140.1, side=Sell]
Order [timestamp=2017-10-05T10:54:06, broker=Ameriprise Financial, sequenceId=48, type=K, symbol=LGHT, quantity=100, price=140.01, side=Sell]
Order [timestamp=2017-10-05T10:55:47, broker=Ameriprise Financial, sequenceId=49, type=2, symbol=LOUD, quantity=200, price=10.95, side=Sell]
Order [timestamp=2017-10-05T10:55:50, broker=Ameriprise Financial, sequenceId=50, type=2, symbol=HOOF, quantity=100, price=39.12, side=Sell]
Order [timestamp=2017-10-05T10:45:10, broker=Waddell & Reed, sequenceId=1, type=K, symbol=LOUD, quantity=200, price=10.95, side=Buy]
Order [timestamp=2017-10-05T10:48:08, broker=Waddell & Reed, sequenceId=2, type=2, symbol=BRIC, quantity=400, price=30.71, side=Sell]
Order [timestamp=2017-10-05T10:00, broker=Fidelity, sequenceId=1, type=2, symbol=BARK, quantity=100, price=1.195, side=Buy]
Order [timestamp=2017-10-05T10:00:40, broker=Fidelity, sequenceId=2, type=2, symbol=LGHT, quantity=100, price=140.05, side=Buy]
Order [timestamp=2017-10-05T10:00:41, broker=Fidelity, sequenceId=3, type=K, symbol=BARK, quantity=100, price=1.19, side=Buy]
Order [timestamp=2017-10-05T10:02, broker=Fidelity, sequenceId=5, type=2, symbol=HOOF, quantity=100, price=39.12, side=Sell]
Order [timestamp=2017-10-05T10:02:10, broker=Fidelity, sequenceId=6, type=2, symbol=YLLW, quantity=600, price=11.11, side=Sell]
Order [timestamp=2017-10-05T10:03:30, broker=Fidelity, sequenceId=7, type=K, symbol=LGHT, quantity=100, price=140.1, side=Sell]
Order [timestamp=2017-10-05T10:04:10, broker=Fidelity, sequenceId=8, type=K, symbol=LGHT, quantity=100, price=140.01, side=Sell]
Order [timestamp=2017-10-05T10:05:10, broker=Fidelity, sequenceId=9, type=2, symbol=BRIC, quantity=460, price=30.705, side=Sell]
Order [timestamp=2017-10-05T10:06:03, broker=Fidelity, sequenceId=10, type=2, symbol=BARK, quantity=100, price=1.195, side=Buy]
Order [timestamp=2017-10-05T10:06:04, broker=Fidelity, sequenceId=11, type=2, symbol=CARD, quantity=200, price=6.855, side=Sell]
Order [timestamp=2017-10-05T10:06:59, broker=Fidelity, sequenceId=12, type=K, symbol=LGHT, quantity=100, price=140.01, side=Sell]
Order [timestamp=2017-10-05T10:07:10, broker=Fidelity, sequenceId=13, type=K, symbol=HOOF, quantity=100, price=39.11, side=Buy]
Order [timestamp=2017-10-05T10:09, broker=Fidelity, sequenceId=14, type=2, symbol=BRIC, quantity=900, price=30.69, side=Buy]
Order [timestamp=2017-10-05T10:10:59, broker=Fidelity, sequenceId=15, type=K, symbol=BRIC, quantity=5000, price=30.7, side=Sell]
Order [timestamp=2017-10-05T10:11:03, broker=Fidelity, sequenceId=16, type=2, symbol=YLLW, quantity=100000, price=11.1, side=Sell]
Order [timestamp=2017-10-05T10:11:10, broker=Fidelity, sequenceId=17, type=2, symbol=CARD, quantity=700, price=6.9, side=Sell]
Order [timestamp=2017-10-05T10:14, broker=Fidelity, sequenceId=19, type=2, symbol=HOOF, quantity=100, price=39.12, side=Sell]
Order [timestamp=2017-10-05T10:15:01, broker=Fidelity, sequenceId=20, type=2, symbol=YLLW, quantity=600, price=11.11, side=Sell]
Order [timestamp=2017-10-05T10:17, broker=Fidelity, sequenceId=21, type=K, symbol=BARK, quantity=100, price=1.19, side=Buy]
Order [timestamp=2017-10-05T10:18, broker=Fidelity, sequenceId=22, type=2, symbol=GLOO, quantity=500, price=40.01, side=Sell]
Order [timestamp=2017-10-05T10:19:30, broker=Fidelity, sequenceId=23, type=2, symbol=LGHT, quantity=500, price=98.77, side=Sell]
Order [timestamp=2017-10-05T10:20, broker=Fidelity, sequenceId=24, type=K, symbol=LOUD, quantity=200, price=10.95, side=Buy]
Order [timestamp=2017-10-05T10:21, broker=Fidelity, sequenceId=25, type=K, symbol=HOOF, quantity=200, price=76.48, side=Sell]
Order [timestamp=2017-10-05T10:22:13, broker=Fidelity, sequenceId=26, type=2, symbol=BRIC, quantity=400, price=30.71, side=Sell]
Order [timestamp=2017-10-05T10:23, broker=Fidelity, sequenceId=27, type=2, symbol=BRIC, quantity=1400, price=30.7, side=Sell]
Order [timestamp=2017-10-05T10:32:10, broker=Fidelity, sequenceId=28, type=K, symbol=HOOF, quantity=200, price=76.48, side=Sell]
Order [timestamp=2017-10-05T10:33:20, broker=Fidelity, sequenceId=29, type=2, symbol=KRIL, quantity=30, price=6.03, side=Buy]
Order [timestamp=2017-10-05T10:33:40, broker=Fidelity, sequenceId=30, type=K, symbol=LOUD, quantity=200, price=140.005, side=Buy]
Order [timestamp=2017-10-05T10:34, broker=Fidelity, sequenceId=31, type=2, symbol=BARK, quantity=100, price=1.195, side=Buy]
Order [timestamp=2017-10-05T10:35:24, broker=Fidelity, sequenceId=33, type=2, symbol=KRIL, quantity=30, price=6.03, side=Buy]
Order [timestamp=2017-10-05T10:40, broker=Fidelity, sequenceId=34, type=2, symbol=BRIC, quantity=900, price=30.69, side=Buy]
Order [timestamp=2017-10-05T10:40:40, broker=Fidelity, sequenceId=35, type=2, symbol=VELL, quantity=100, price=12, side=Sell]
Order [timestamp=2017-10-05T10:41:50, broker=Fidelity, sequenceId=36, type=K, symbol=LOUD, quantity=200, price=10.95, side=Buy]
Order [timestamp=2017-10-05T10:42, broker=Fidelity, sequenceId=37, type=K, symbol=LGHT, quantity=800, price=98.765, side=Sell]
Order [timestamp=2017-10-05T10:43:10, broker=Fidelity, sequenceId=38, type=2, symbol=CARD, quantity=8000, price=6.555, side=Buy]
Order [timestamp=2017-10-05T10:44:20, broker=Fidelity, sequenceId=39, type=2, symbol=BRIC, quantity=900, price=30.69, side=Buy]
Order [timestamp=2017-10-05T10:45, broker=Fidelity, sequenceId=40, type=2, symbol=VELL, quantity=100, price=12, side=Sell]
Order [timestamp=2017-10-05T10:46:01, broker=Fidelity, sequenceId=41, type=K, symbol=YLLW, quantity=200, price=11, side=Buy]
Order [timestamp=2017-10-05T10:47:10, broker=Fidelity, sequenceId=42, type=K, symbol=HOOF, quantity=200, price=76.48, side=Sell]
Order [timestamp=2017-10-05T10:49:16, broker=Fidelity, sequenceId=43, type=2, symbol=KRIL, quantity=30, price=6.03, side=Buy]
Order [timestamp=2017-10-05T10:50:23, broker=Fidelity, sequenceId=44, type=K, symbol=YLLW, quantity=1560, price=10.8, side=Buy]
Order [timestamp=2017-10-05T10:51:16, broker=Fidelity, sequenceId=45, type=2, symbol=YLLW, quantity=400, price=11.105, side=Sell]
Order [timestamp=2017-10-05T10:52:07, broker=Fidelity, sequenceId=46, type=K, symbol=BRIC, quantity=5000, price=30.7, side=Sell]
Order [timestamp=2017-10-05T10:54:12, broker=Fidelity, sequenceId=47, type=2, symbol=CARD, quantity=700, price=6.9, side=Sell]
Order [timestamp=2017-10-05T10:55:42, broker=Fidelity, sequenceId=48, type=2, symbol=YLLW, quantity=550, price=11.205, side=Sell]
Order [timestamp=2017-10-05T10:55:54, broker=Fidelity, sequenceId=49, type=K, symbol=LOUD, quantity=200, price=140.005, side=Buy]
Order [timestamp=2017-10-05T10:59, broker=Fidelity, sequenceId=50, type=2, symbol=HOOF, quantity=500, price=39.13, side=Sell]
Order [timestamp=2017-10-05T10:00:04, broker=Edward Jones, sequenceId=1, type=K, symbol=HOOF, quantity=150, price=39.1, side=Buy]
Order [timestamp=2017-10-05T10:00:43, broker=Edward Jones, sequenceId=2, type=2, symbol=BARK, quantity=400, price=88.3, side=Buy]
Order [timestamp=2017-10-05T10:00:49, broker=Edward Jones, sequenceId=3, type=2, symbol=LOUD, quantity=400, price=10.96, side=Sell]
Order [timestamp=2017-10-05T10:01:41, broker=Edward Jones, sequenceId=4, type=2, symbol=YLLW, quantity=200, price=11.3, side=Sell]
Order [timestamp=2017-10-05T10:02:07, broker=Edward Jones, sequenceId=5, type=2, symbol=KRIL, quantity=300, price=6.08, side=Buy]
Order [timestamp=2017-10-05T10:02:11, broker=Edward Jones, sequenceId=6, type=2, symbol=CARD, quantity=200, price=6.855, side=Sell]
Order [timestamp=2017-10-05T10:03:32, broker=Edward Jones, sequenceId=7, type=K, symbol=BARK, quantity=100, price=1.19, side=Buy]
Order [timestamp=2017-10-05T10:04:10, broker=Edward Jones, sequenceId=8, type=2, symbol=LOUD, quantity=400, price=10.96, side=Sell]
Order [timestamp=2017-10-05T10:05:11, broker=Edward Jones, sequenceId=9, type=2, symbol=BRIC, quantity=900, price=30.69, side=Buy]
Order [timestamp=2017-10-05T10:05:24, broker=Edward Jones, sequenceId=10, type=2, symbol=BARK, quantity=100, price=1.19, side=Sell]
Order [timestamp=2017-10-05T10:07:11, broker=Edward Jones, sequenceId=13, type=2, symbol=GLOO, quantity=500, price=40.01, side=Sell]
Order [timestamp=2017-10-05T10:09:04, broker=Edward Jones, sequenceId=14, type=K, symbol=YLLW, quantity=1560, price=10.8, side=Buy]
Order [timestamp=2017-10-05T10:10:45, broker=Edward Jones, sequenceId=15, type=2, symbol=YLLW, quantity=400, price=11.105, side=Sell]
Order [timestamp=2017-10-05T10:11:02, broker=Edward Jones, sequenceId=16, type=K, symbol=LGHT, quantity=400, price=140, side=Buy]
Order [timestamp=2017-10-05T10:11:51, broker=Edward Jones, sequenceId=17, type=K, symbol=LGHT, quantity=100, price=140.01, side=Sell]
Order [timestamp=2017-10-05T10:14:01, broker=Edward Jones, sequenceId=19, type=2, symbol=KRIL, quantity=300, price=6.08, side=Buy]
Order [timestamp=2017-10-05T10:15:02, broker=Edward Jones, sequenceId=20, type=2, symbol=CARD, quantity=200, price=6.855, side=Sell]
Order [timestamp=2017-10-05T10:17:03, broker=Edward Jones, sequenceId=21, type=2, symbol=BARK, quantity=400, price=88.3, side=Buy]
Order [timestamp=2017-10-05T10:18:05, broker=Edward Jones, sequenceId=22, type=2, symbol=BRIC, quantity=400, price=30.71, side=Sell]
Order [timestamp=2017-10-05T10:19:35, broker=Edward Jones, sequenceId=23, type=2, symbol=BRIC, quantity=1400, price=30.7, side=Sell]
Order [timestamp=2017-10-05T10:19:45, broker=Edward Jones, sequenceId=24, type=2, symbol=CARD, quantity=100, price=6.65, side=Buy]
Order [timestamp=2017-10-05T10:20:01, broker=Edward Jones, sequenceId=25, type=K, symbol=BRIC, quantity=5000, price=30.7, side=Sell]
Order [timestamp=2017-10-05T10:21:01, broker=Edward Jones, sequenceId=26, type=2, symbol=CARD, quantity=700, price=6.9, side=Sell]
Order [timestamp=2017-10-05T10:22:14, broker=Edward Jones, sequenceId=27, type=2, symbol=YLLW, quantity=550, price=11.205, side=Sell]
Order [timestamp=2017-10-05T10:23:01, broker=Edward Jones, sequenceId=28, type=K, symbol=BARK, quantity=200, price=140.005, side=Buy]
Order [timestamp=2017-10-05T10:32:11, broker=Edward Jones, sequenceId=29, type=2, symbol=CARD, quantity=700, price=6.9, side=Sell]
Order [timestamp=2017-10-05T10:33:22, broker=Edward Jones, sequenceId=30, type=2, symbol=HOOF, quantity=600, price=39.2, side=Sell]
Order [timestamp=2017-10-05T10:33:42, broker=Edward Jones, sequenceId=31, type=2, symbol=HOOF, quantity=100, price=39.12, side=Sell]
Order [timestamp=2017-10-05T10:34:02, broker=Edward Jones, sequenceId=33, type=K, symbol=BARK, quantity=100, price=1.19, side=Buy]
Order [timestamp=2017-10-05T10:35:05, broker=Edward Jones, sequenceId=34, type=K, symbol=BRIC, quantity=200, price=30.71, side=Sell]
Order [timestamp=2017-10-05T10:40:01, broker=Edward Jones, sequenceId=35, type=K, symbol=YLLW, quantity=1560, price=10.8, side=Buy]
Order [timestamp=2017-10-05T10:40:41, broker=Edward Jones, sequenceId=36, type=2, symbol=CARD, quantity=200, price=6.68, side=Buy]
Order [timestamp=2017-10-05T10:41:51, broker=Edward Jones, sequenceId=37, type=K, symbol=BRIC, quantity=5000, price=30.7, side=Sell]
Order [timestamp=2017-10-05T10:42:01, broker=Edward Jones, sequenceId=38, type=2, symbol=YLLW, quantity=100000, price=11.1, side=Sell]
Order [timestamp=2017-10-05T10:43:11, broker=Edward Jones, sequenceId=39, type=2, symbol=KRIL, quantity=30, price=6.03, side=Buy]
Order [timestamp=2017-10-05T10:44:22, broker=Edward Jones, sequenceId=40, type=K, symbol=YLLW, quantity=1560, price=10.8, side=Buy]
Order [timestamp=2017-10-05T10:45:05, broker=Edward Jones, sequenceId=41, type=2, symbol=CARD, quantity=200, price=6.68, side=Buy]
Order [timestamp=2017-10-05T10:46:02, broker=Edward Jones, sequenceId=42, type=K, symbol=LGHT, quantity=600, price=140.005, side=Sell]
Order [timestamp=2017-10-05T10:47:08, broker=Edward Jones, sequenceId=43, type=2, symbol=CARD, quantity=700, price=6.9, side=Sell]
Order [timestamp=2017-10-05T10:49:13, broker=Edward Jones, sequenceId=44, type=2, symbol=HOOF, quantity=600, price=39.2, side=Sell]
Order [timestamp=2017-10-05T10:50:21, broker=Edward Jones, sequenceId=45, type=K, symbol=LGHT, quantity=100, price=98.78, side=Buy]
Order [timestamp=2017-10-05T10:51:14, broker=Edward Jones, sequenceId=46, type=2, symbol=YLLW, quantity=600, price=11.11, side=Sell]
Order [timestamp=2017-10-05T10:52:06, broker=Edward Jones, sequenceId=47, type=K, symbol=LGHT, quantity=400, price=140, side=Buy]
Order [timestamp=2017-10-05T10:54:01, broker=Edward Jones, sequenceId=48, type=K, symbol=BRIC, quantity=200, price=30.71, side=Sell]
Order [timestamp=2017-10-05T10:59:54, broker=Edward Jones, sequenceId=50, type=K, symbol=LGHT, quantity=100, price=98.78, side=Buy]
Order [timestamp=2017-10-05T10:00:03, broker=National Planning Corporation, sequenceId=1, type=K, symbol=LGHT, quantity=400, price=140, side=Buy]
Order [timestamp=2017-10-05T10:00:49, broker=National Planning Corporation, sequenceId=2, type=K, symbol=BRIC, quantity=200, price=30.71, side=Sell]
Order [timestamp=2017-10-05T10:00:50, broker=National Planning Corporation, sequenceId=3, type=2, symbol=YLLW, quantity=550, price=11.205, side=Sell]
Order [timestamp=2017-10-05T10:02:12, broker=National Planning Corporation, sequenceId=5, type=2, symbol=YLLW, quantity=400, price=11.105, side=Sell]
Order [timestamp=2017-10-05T10:02:25, broker=National Planning Corporation, sequenceId=6, type=K, symbol=LGHT, quantity=600, price=140.005, side=Sell]
Order [timestamp=2017-10-05T10:03:39, broker=National Planning Corporation, sequenceId=7, type=2, symbol=CARD, quantity=700, price=6.9, side=Sell]
Order [timestamp=2017-10-05T10:04:26, broker=National Planning Corporation, sequenceId=8, type=2, symbol=HOOF, quantity=600, price=39.2, side=Sell]
Order [timestamp=2017-10-05T10:05:11, broker=National Planning Corporation, sequenceId=9, type=2, symbol=GLOO, quantity=100, price=40.02, side=Buy]
Order [timestamp=2017-10-05T10:05:24, broker=National Planning Corporation, sequenceId=10, type=2, symbol=YLLW, quantity=600, price=11.11, side=Sell]
Order [timestamp=2017-10-05T10:06:06, broker=National Planning Corporation, sequenceId=11, type=K, symbol=LGHT, quantity=100, price=140.1, side=Sell]
Order [timestamp=2017-10-05T10:06:58, broker=National Planning Corporation, sequenceId=12, type=K, symbol=BRIC, quantity=300, price=30.705, side=Sell]
Order [timestamp=2017-10-05T10:09:04, broker=National Planning Corporation, sequenceId=14, type=K, symbol=KRIL, quantity=500, price=6.075, side=Buy]
Order [timestamp=2017-10-05T10:11:02, broker=National Planning Corporation, sequenceId=16, type=K, symbol=LGHT, quantity=800, price=98.765, side=Sell]
Order [timestamp=2017-10-05T10:11:51, broker=National Planning Corporation, sequenceId=17, type=2, symbol=KRIL, quantity=30, price=6.03, side=Buy]
Order [timestamp=2017-10-05T10:12:21, broker=National Planning Corporation, sequenceId=18, type=2, symbol=BRIC, quantity=1400, price=30.7, side=Sell]
Order [timestamp=2017-10-05T10:14:01, broker=National Planning Corporation, sequenceId=19, type=2, symbol=YLLW, quantity=400, price=11.105, side=Sell]
Order [timestamp=2017-10-05T10:15:02, broker=National Planning Corporation, sequenceId=20, type=K, symbol=LGHT, quantity=600, price=140.005, side=Sell]
Order [timestamp=2017-10-05T10:17:03, broker=National Planning Corporation, sequenceId=21, type=K, symbol=BRIC, quantity=200, price=30.71, side=Sell]
Order [timestamp=2017-10-05T10:18:05, broker=National Planning Corporation, sequenceId=22, type=2, symbol=YLLW, quantity=200, price=11.3, side=Sell]
Order [timestamp=2017-10-05T10:19:35, broker=National Planning Corporation, sequenceId=23, type=2, symbol=KRIL, quantity=300, price=6.08, side=Buy]
Order [timestamp=2017-10-05T10:19:45, broker=National Planning Corporation, sequenceId=24, type=K, symbol=HOOF, quantity=150, price=39.1, side=Buy]
Order [timestamp=2017-10-05T10:21:01, broker=National Planning Corporation, sequenceId=26, type=2, symbol=GLOO, quantity=500, price=40.01, side=Sell]
Order [timestamp=2017-10-05T10:22:14, broker=National Planning Corporation, sequenceId=27, type=2, symbol=LGHT, quantity=500, price=98.77, side=Sell]
Order [timestamp=2017-10-05T10:23:01, broker=National Planning Corporation, sequenceId=28, type=2, symbol=BARK, quantity=100, price=1.19, side=Sell]
Order [timestamp=2017-10-05T10:32:11, broker=National Planning Corporation, sequenceId=29, type=2, symbol=GLOO, quantity=500, price=40.01, side=Sell]
Order [timestamp=2017-10-05T10:33:22, broker=National Planning Corporation, sequenceId=30, type=2, symbol=BRIC, quantity=900, price=30.69, side=Buy]
Order [timestamp=2017-10-05T10:33:42, broker=National Planning Corporation, sequenceId=31, type=2, symbol=CARD, quantity=100, price=6.65, side=Buy]
Order [timestamp=2017-10-05T10:34:01, broker=National Planning Corporation, sequenceId=32, type=K, symbol=LGHT, quantity=400, price=140, side=Buy]
Order [timestamp=2017-10-05T10:35:05, broker=National Planning Corporation, sequenceId=34, type=2, symbol=CARD, quantity=8000, price=6.555, side=Buy]
Order [timestamp=2017-10-05T10:40:01, broker=National Planning Corporation, sequenceId=35, type=K, symbol=KRIL, quantity=500, price=6.075, side=Buy]
Order [timestamp=2017-10-05T10:40:41, broker=National Planning Corporation, sequenceId=36, type=K, symbol=HOOF, quantity=150, price=39.1, side=Buy]
Order [timestamp=2017-10-05T10:42:01, broker=National Planning Corporation, sequenceId=38, type=2, symbol=LOUD, quantity=400, price=10.96, side=Sell]
Order [timestamp=2017-10-05T10:43:15, broker=National Planning Corporation, sequenceId=39, type=2, symbol=BRIC, quantity=460, price=30.705, side=Sell]
Order [timestamp=2017-10-05T10:44:28, broker=National Planning Corporation, sequenceId=40, type=K, symbol=KRIL, quantity=500, price=6.075, side=Buy]
Order [timestamp=2017-10-05T10:45:07, broker=National Planning Corporation, sequenceId=41, type=K, symbol=HOOF, quantity=150, price=39.1, side=Buy]
Order [timestamp=2017-10-05T10:46:11, broker=National Planning Corporation, sequenceId=42, type=2, symbol=BARK, quantity=400, price=88.3, side=Buy]
Order [timestamp=2017-10-05T10:47:04, broker=National Planning Corporation, sequenceId=43, type=2, symbol=GLOO, quantity=500, price=40.01, side=Sell]
Order [timestamp=2017-10-05T10:49:18, broker=National Planning Corporation, sequenceId=44, type=2, symbol=BRIC, quantity=900, price=30.69, side=Buy]
Order [timestamp=2017-10-05T10:50:25, broker=National Planning Corporation, sequenceId=45, type=2, symbol=VELL, quantity=100, price=12, side=Sell]
Order [timestamp=2017-10-05T10:51:18, broker=National Planning Corporation, sequenceId=46, type=K, symbol=YLLW, quantity=200, price=11, side=Buy]
Order [timestamp=2017-10-05T10:52:09, broker=National Planning Corporation, sequenceId=47, type=K, symbol=LGHT, quantity=800, price=98.765, side=Sell]
Order [timestamp=2017-10-05T10:54:07, broker=National Planning Corporation, sequenceId=48, type=2, symbol=BRIC, quantity=400, price=30.71, side=Sell]
Order [timestamp=2017-10-05T10:55:41, broker=National Planning Corporation, sequenceId=49, type=2, symbol=BRIC, quantity=1400, price=30.7, side=Sell]
Order [timestamp=2017-10-05T10:55:53, broker=National Planning Corporation, sequenceId=50, type=2, symbol=BARK, quantity=100, price=1.19, side=Sell]
Order [timestamp=2017-10-05T10:00:01, broker=Charles Schwab, sequenceId=1, type=2, symbol=CARD, quantity=200, price=6.855, side=Sell]
Order [timestamp=2017-10-05T10:00:42, broker=Charles Schwab, sequenceId=3, type=K, symbol=HOOF, quantity=100, price=39.11, side=Buy]
Order [timestamp=2017-10-05T10:01:51, broker=Charles Schwab, sequenceId=4, type=2, symbol=LOUD, quantity=200, price=10.95, side=Sell]
Order [timestamp=2017-10-05T10:02:06, broker=Charles Schwab, sequenceId=5, type=2, symbol=GLOO, quantity=100, price=40.02, side=Buy]
Order [timestamp=2017-10-05T10:02:14, broker=Charles Schwab, sequenceId=6, type=2, symbol=BARK, quantity=100, price=1.195, side=Buy]
Order [timestamp=2017-10-05T10:03:31, broker=Charles Schwab, sequenceId=7, type=2, symbol=LGHT, quantity=100, price=140.05, side=Buy]
Order [timestamp=2017-10-05T10:04:11, broker=Charles Schwab, sequenceId=8, type=K, symbol=HOOF, quantity=100, price=39.11, side=Buy]
Order [timestamp=2017-10-05T10:05:11, broker=Charles Schwab, sequenceId=9, type=2, symbol=LGHT, quantity=500, price=98.77, side=Sell]
Order [timestamp=2017-10-05T10:05:24, broker=Charles Schwab, sequenceId=10, type=K, symbol=KRIL, quantity=500, price=6.075, side=Buy]
Order [timestamp=2017-10-05T10:06:06, broker=Charles Schwab, sequenceId=11, type=K, symbol=HOOF, quantity=150, price=39.1, side=Buy]
Order [timestamp=2017-10-05T10:06:58, broker=Charles Schwab, sequenceId=12, type=K, symbol=BARK, quantity=100, price=1.19, side=Buy]
Order [timestamp=2017-10-05T10:07:11, broker=Charles Schwab, sequenceId=13, type=2, symbol=LOUD, quantity=400, price=10.96, side=Sell]
Order [timestamp=2017-10-05T10:09:04, broker=Charles Schwab, sequenceId=14, type=2, symbol=BRIC, quantity=1400, price=30.7, side=Sell]
